strategy,entry_signal_rule,entry_news_rule,exit_news_rule,none_streak,momentum_cutoff,entries,closed,open,deployed,ending,gain,return_pct,train_return_pct,test_return_pct
entry=any-signal; entry-news=active; exit=15none/-5%/ignore,any-signal,active,ignore,15,-5,186,102,84,186000,210125.7429894973631550726145,24125.7429894973631550726145,12.97082956424589416939387876,-3.685479206987384883436909359,21.56231559608318505048037269
entry=fresh-only; entry-news=ignore; exit=15none/0%/cooling,fresh-only,ignore,cooling,15,0,102,66,36,102000,115193.2528392013906144290626,13193.2528392013906144290626,12.93456160706018687689123784,-3.668822878287688345440088773,28.32465778227508782798291761
entry=strict-only; entry-news=ignore; exit=20none/0%/cooling,strict-only,ignore,cooling,20,0,72,31,41,72000,81283.38945611355902041464741,9283.38945611355902041464741,12.89359646682438752835367696,-6.947517327758949840843632793,17.67497281674092939192735776
entry=strict-only; entry-news=active; exit=20none/-5%/cooling,strict-only,active,cooling,20,-5,64,26,38,64000,72225.87910390544883324708004,8225.87910390544883324708004,12.85293609985226380194856256,-8.399927369425592659729899500,16.89499798620479512666798285
entry=strict-only; entry-news=accelerating; exit=20none/-5%/ignore,strict-only,accelerating,ignore,20,-5,59,26,33,59000,66574.65725728905847109722752,7574.65725728905847109722752,12.83840213099840418830038563,-6.027223461212134065731637522,16.54820918259952641817310749
entry=any-signal; entry-news=active; exit=15none/0%/cooling,any-signal,active,cooling,15,0,187,109,78,187000,211006.9150604532545354456877,24006.9150604532545354456877,12.83792249222099173018485973,-2.521228521227941138952127137,20.98582507660120922505627543
entry=fresh-or-strict; entry-news=active; exit=15none/0%/ignore,fresh-or-strict,active,ignore,15,0,107,63,44,107000,120721.4671576566018550205729,13721.4671576566018550205729,12.82380108192205780843044196,-4.186200941300899580800689417,19.09439755730644136176404809
entry=any-signal; entry-news=active; exit=5none/-10%/ignore,any-signal,active,ignore,5,-10,182,97,85,182000,205161.7600982937337203100975,23161.7600982937337203100975,12.72624181224930424192862500,-3.171428948892714155881772870,18.17327664578603938973932144
entry=strict-only; entry-news=accelerating; exit=20none/0%/cooling,strict-only,accelerating,cooling,20,0,59,26,33,59000,66507.42591115189023864954041,7507.42591115189023864954041,12.72445069686761057398227188,-6.827069183247142430270688130,16.76214513193510296539243457
entry=any-signal; entry-news=ignore; exit=10none/-5%/cooling,any-signal,ignore,cooling,10,-5,225,129,96,225000,253568.0010502711807642022813,28568.0010502711807642022813,12.69688935567608033964545836,-2.45641790530682142135533800,20.22287433638908038668964693
entry=fresh-only; entry-news=active; exit=10none/-5%/ignore,fresh-only,active,ignore,10,-5,80,51,29,80000,90106.01664548080436964124963,10106.01664548080436964124963,12.63252080685100546205156204,-6.274493792697363152744518577,27.53935609298999524741706747
entry=fresh-or-strict; entry-news=ignore; exit=15none/0%/ignore,fresh-or-strict,ignore,ignore,15,0,129,78,51,129000,145244.5784905952610565283012,16244.5784905952610565283012,12.59269650433741167172736527,-3.722217700657242899906939041,21.03225288844980228244155485
entry=strict-only; entry-news=active; exit=20none/0%/cooling,strict-only,active,cooling,20,0,64,28,36,64000,72049.14299884593748826571121,8049.14299884593748826571121,12.57678593569677732541517377,-7.770278726821799717107109308,16.83349629843116697741669095
entry=any-signal; entry-news=ignore; exit=15none/-5%/ignore,any-signal,ignore,ignore,15,-5,227,129,98,227000,255348.7169914766877611252279,28348.7169914766877611252279,12.48842158214832059961463784,-2.453775797830422631973352231,20.28105215965635712163777904
entry=fresh-or-strict; entry-news=ignore; exit=10none/0%/cooling,fresh-or-strict,ignore,cooling,10,0,128,76,52,128000,143947.0730999423846483841410,15947.0730999423846483841410,12.45865085932998800655011016,-3.913082462225212124720474135,22.07807486011783400520862270
entry=fresh-or-strict; entry-news=active; exit=15none/-5%/ignore,fresh-or-strict,active,ignore,15,-5,107,59,48,107000,120304.3535362641803836587722,13304.3535362641803836587722,12.43397526753661718098950673,-5.766760516445157755140535950,20.10423421711608392200736972
entry=fresh-or-strict; entry-news=active; exit=10none/0%/cooling,fresh-or-strict,active,cooling,10,0,106,61,45,106000,119157.8878504253564215124928,13157.8878504253564215124928,12.41310174568429851086084226,-4.908262873178021897908757383,20.26384876824756717802071283
entry=fresh-or-strict; entry-news=accelerating; exit=5none/-5%/ignore,fresh-or-strict,accelerating,ignore,5,-5,97,56,41,97000,109028.4643386408823121021342,12028.4643386408823121021342,12.40047869962977557948673629,-5.024549505694892471159730923,20.07718533897348705660238127
entry=fresh-only; entry-news=ignore; exit=15none/0%/ignore,fresh-only,ignore,ignore,15,0,102,69,33,102000,114570.3461064597875020875795,12570.3461064597875020875795,12.32386873182332108047801912,-3.257259849965918018658768621,25.97145319076074055082405808
entry=fresh-only; entry-news=active; exit=5none/0%/cooling,fresh-only,active,cooling,5,0,82,54,28,82000,92073.75824487090130056735669,10073.75824487090130056735669,12.28507103033036743971628865,-4.470681688461967999121428566,25.00666516752504117066134319
entry=any-signal; entry-news=accelerating; exit=10none/0%/cooling,any-signal,accelerating,cooling,10,0,177,106,71,177000,198682.8325979197331077518507,21682.8325979197331077518507,12.25018790842922774449257102,-1.906375260850571935882787411,19.87615485257224616810103102
entry=fresh-or-strict; entry-news=ignore; exit=15none/-5%/ignore,fresh-or-strict,ignore,ignore,15,-5,129,74,55,129000,144761.2990466680860890162331,15761.2990466680860890162331,12.21806127648688844109785512,-5.187840155782936595301260554,21.90965195353031139216116216
entry=any-signal; entry-news=accelerating; exit=15none/0%/ignore,any-signal,accelerating,ignore,15,0,178,107,71,178000,199717.8960159700178190009727,21717.8960159700178190009727,12.20106517751124596573088354,-2.207674751550259295117473463,19.91050661685121663209565966
entry=strict-only; entry-news=ignore; exit=20none/-5%/ignore,strict-only,ignore,ignore,20,-5,73,31,42,73000,81902.74220677312755024917965,8902.74220677312755024917965,12.19553726955222952088928719,-6.925369707887087571256740379,16.89499141194087272240620951
entry=fresh-only; entry-news=ignore; exit=15none/-5%/ignore,fresh-only,ignore,ignore,15,-5,102,65,37,102000,114437.0075336740027426792823,12437.0075336740027426792823,12.19314464085686543399929637,-4.844765776917325141804266924,27.99924002895600700370015408
entry=any-signal; entry-news=ignore; exit=15none/0%/cooling,any-signal,ignore,cooling,15,0,231,141,90,231000,259092.8957762789908521464003,28092.8957762789908521464003,12.16142674297791811781229450,-1.635862360675789024890684046,19.79559425178859730548404357
