ticker,yahoo_symbol,baseline_date,baseline_close,first_spike_date,first_spike_close,first_spike_return_pct,latest_date,latest_close,latest_return_pct,leading_5d_avg_volume,prior_20d_avg_volume,leading_5d_vs_prior_20d,spike_day_volume,spike_day_vs_prior_20d,pre_spike_5d_return_pct,pattern
NBIS,NBIS,2026-01-02,89.9500,2026-03-13,112.9500,25.57,2026-06-01,264.5100,194.06,14617280,13850375,1.06,15433700,1.11,26.44,no >=1.5x volume expansion
NINOY,NINOY,2026-01-02,11.1300,2026-05-14,14.6600,31.72,2026-06-01,11.6500,4.67,5680,1145,4.96,3500,3.06,17.94,volume expanded before threshold
ON,ON,2026-01-02,56.7000,2026-02-11,71.1800,25.54,2026-06-01,120.9200,113.26,14199960,9213255,1.54,12273000,1.33,14.70,volume expanded before threshold
ONDS,ONDS,2026-01-02,11.0200,2026-01-08,14.0100,27.13,2026-06-01,13.4600,22.14,110351025,,,137379500,,,insufficient pre-spike sessions
ONTO,ONTO,2026-01-02,165.8700,2026-01-15,217.8500,31.34,2026-06-01,255.7100,54.16,799120,868900,0.92,1631100,1.88,20.77,volume expanded on threshold day
ORCL,ORCL,2026-01-02,195.7100,2026-06-01,248.1500,26.79,2026-06-01,248.1500,26.79,20432620,22584150,0.90,42513852,1.88,29.19,volume expanded on threshold day
OUST,OUST,2026-01-02,23.3700,2026-05-06,29.3950,25.78,2026-06-01,44.9300,92.26,3268040,1913595,1.71,6049500,3.16,15.09,volume expanded before threshold
PANW,PANW,2026-01-02,179.3700,2026-05-13,227.7900,26.99,2026-06-01,300.4800,67.52,9098700,7241570,1.26,9337700,1.29,24.01,no >=1.5x volume expansion
POET,POET,2026-01-02,7.1600,2026-04-21,10.2500,43.16,2026-06-01,13.8900,93.99,19858700,10109040,1.96,59126100,5.85,52.76,volume expanded before threshold
Q,Q,2026-01-02,84.9800,2026-02-10,109.3000,28.62,2026-06-01,151.9200,78.77,2186540,2424190,0.90,4257600,1.76,9.43,volume expanded on threshold day
QCOM,QCOM,2026-01-02,172.9800,2026-05-08,219.0900,26.66,2026-06-01,228.9900,32.38,31948200,16588055,1.93,37850000,2.28,23.77,volume expanded before threshold
RCAT,RCAT,2026-01-02,9.1600,2026-01-08,11.8300,29.15,2026-06-01,14.8400,62.01,13192175,,,21824100,,,insufficient pre-spike sessions
